#Parameters = {conPlaceY=21; conPlaceX=0; pinHole=2.4; Pinlength=17.9; tykSkrue=6.2; hightSkrue=8; PinInsCon=4.1; Pincon=1.2; hcon=1.7; Wcon=12.7; h=1.61; tc=0.035; Wf=2; WavelengthsNumber=2; Wavelength=2; Ls=52.3; Ws=56.5; y0=10; Lp=29.4; Wp=35; Mesh Pass=2}
#"Frequency / GHz"	"S1,1 (Mesh Pass=2) [Magnitude / dB]"
#-------------------------------------------------------
2.2999999523163	-3.4702539733744
2.3002998828888	-3.4825270479083
2.3006000518799	-3.4948835666980
2.3008999824524	-3.5073260555597
2.3011999130249	-3.5198551125716
2.3015000820160	-3.5324735273037
2.3018000125885	-3.5451831148119
2.3020999431610	-3.5579866038221
2.3024001121521	-3.5708860862654
2.3027000427246	-3.5838815739830
2.3029999732971	-3.5969761423373
2.3032999038696	-3.6101723527422
2.3036000728607	-3.6234702598860
2.3039000034332	-3.6368734582313
2.3041999340057	-3.6503826091939
2.3045001029968	-3.6640001666598
2.3048000335693	-3.6777272046471
2.3050999641418	-3.6915660753984
2.3053998947144	-3.7055197052660
2.3057000637054	-3.7195867643722
2.3059999942780	-3.7337722014828
2.3062999248505	-3.7480770306480
2.3066000938416	-3.7625010052259
2.3069000244141	-3.7770467423077
2.3071999549866	-3.7917167653364
2.3074998855591	-3.8065132641675
2.3078000545502	-3.8214357578070
2.3080999851227	-3.8364872883330
2.3083999156952	-3.8516689083929
2.3087000846863	-3.8669826880398
2.3090000152588	-3.8824301907530
2.3092999458313	-3.8980131388663
2.3096001148224	-3.9137320569033
2.3099000453949	-3.9295895976287
2.3101999759674	-3.9455876448952
2.3104999065399	-3.9617259883923
2.3108000755310	-3.9780068934507
2.3111000061035	-3.9944320397707
2.3113999366760	-4.0110032022590
2.3117001056671	-4.0277209611448
2.3120000362396	-4.0445868920102
2.3122999668121	-4.0616030356779
2.3125998973846	-4.0787705070408
2.3129000663757	-4.0960900949943
2.3131999969482	-4.1135645810542
2.3134999275208	-4.1311935672332
2.3138000965118	-4.1489792892676
2.3141000270844	-4.1669220786344
2.3143999576569	-4.1850242120670
2.3146998882294	-4.2032870056829
2.3150000572205	-4.2217109227736
2.3152999877930	-4.2402979803473
2.3155999183655	-4.2590494836598
2.3159000873566	-4.2779653462938
2.3162000179291	-4.2970484127678
2.3164999485016	-4.3162972881205
2.3168001174927	-4.3357148578096
2.3171000480652	-4.3553019662684
2.3173999786377	-4.3750601565084
2.3176999092102	-4.3949898942002
2.3180000782013	-4.4150920582166
2.3183000087738	-4.4353682759758
2.3185999393463	-4.4558192967098
2.3189001083374	-4.4764464094312
2.3192000389099	-4.4972487801517
2.3194999694824	-4.5182278380719
2.3197999000549	-4.5393879523383
2.3201000690460	-4.5607251061000
2.3203999996185	-4.5822435944049
2.3206999301910	-4.6039426371138
2.3210000991821	-4.6258223355169
2.3213000297546	-4.6478860253154
2.3215999603271	-4.6701319847788
2.3218998908997	-4.6925626165503
2.3222000598907	-4.7151779621234
2.3224999904633	-4.7379768480545
2.3227999210358	-4.7609628286489
2.3231000900269	-4.7841362526374
2.3234000205994	-4.8074952320350
2.3236999511719	-4.8310441405014
2.3239998817444	-4.8547789834400
2.3243000507355	-4.8787036537737
2.3245999813080	-4.9028183175500
2.3248999118805	-4.9271212557339
2.3252000808716	-4.9516151497066
2.3255000114441	-4.9762993179036
2.3257999420166	-5.0011738192081
2.3261001110077	-5.0262401008828
2.3264000415802	-5.0514975282877
2.3266999721527	-5.0769470040042
2.3269999027252	-5.1025879173499
2.3273000717163	-5.1284218507385
2.3276000022888	-5.1544475135660
2.3278999328613	-5.1806658783138
2.3282001018524	-5.2070762628790
2.3285000324249	-5.2336796819682
2.3287999629974	-5.2604755705427
2.3290998935699	-5.2874646473542
2.3294000625610	-5.3146454855486
2.3296999931335	-5.3420187727331
2.3299999237061	-5.3695849823242
2.3303000926971	-5.3973423281355
2.3306000232697	-5.4252916950459
2.3308999538422	-5.4534324095120
2.3311998844147	-5.4817642942936
2.3315000534058	-5.5102872004149
2.3317999839783	-5.5389997853452
2.3320999145508	-5.5679032764529
2.3324000835419	-5.5969962996899
2.3327000141144	-5.6262779853488
2.3329999446869	-5.6557478857434
2.3333001136780	-5.6854043958292
2.3336000442505	-5.7152484852298
2.3338999748230	-5.7452778365046
2.3341999053955	-5.7754935294861
2.3345000743866	-5.8058919072633
2.3348000049591	-5.8364745711824
2.3350999355316	-5.8672388761241
2.3354001045227	-5.8981848170828
2.3357000350952	-5.9293099657099
2.3359999656677	-5.9606143986351
2.3362998962402	-5.9920969590422
2.3366000652313	-6.0237548609701
2.3368999958038	-6.0555871237982
2.3371999263763	-6.0875915014967
2.3375000953674	-6.1197679823052
2.3378000259399	-6.1521153555580
2.3380999565125	-6.1846307450944
2.3383998870850	-6.2173112840497
2.3387000560760	-6.2501557990181
2.3389999866486	-6.2831638618410
2.3392999172211	-6.3163318005318
2.3396000862122	-6.3496575453690
2.3399000167847	-6.3831401836628
2.3401999473572	-6.4167758863596
2.3405001163483	-6.4505625707613
2.3408000469208	-6.4844964016912
2.3410999774933	-6.5185786678513
2.3413999080658	-6.5528019185509
2.3417000770569	-6.5871662634313
2.3420000076294	-6.6216677870633
2.3422999382019	-6.6563036999629
2.3426001071930	-6.6910709695848
2.3429000377655	-6.7259638056271
2.3431999683380	-6.7609832938805
2.3434998989105	-6.7961229801733
2.3438000679016	-6.8313790603208
2.3440999984741	-6.8667493632914
2.3443999290466	-6.9022287623975
2.3447000980377	-6.9378140636050
2.3450000286102	-6.9735003608963
2.3452999591827	-7.0092832314609
2.3455998897552	-7.0451584689624
2.3459000587463	-7.0811235096668
2.3461999893188	-7.1171701268544
2.3464999198914	-7.1532959912165
2.3468000888824	-7.1894943206230
2.3471000194550	-7.2257622022686
2.3473999500275	-7.2620925537402
2.3477001190186	-7.2984799974929
2.3480000495911	-7.3349184355981
2.3482999801636	-7.3714038734073
2.3485999107361	-7.4079303910733
2.3489000797272	-7.4444896372452
2.3492000102997	-7.4810787253139
2.3494999408722	-7.5176868312920
2.3498001098633	-7.5543124152105
2.3501000404358	-7.5909438111690
2.3503999710083	-7.6275768818005
2.3506999015808	-7.6642042006056
2.3510000705719	-7.7008187598918
2.3513000011444	-7.7374115428459
2.3515999317169	-7.7739766673087
2.3519001007080	-7.8105060298955
2.3522000312805	-7.8469890196600
2.3524999618530	-7.8834205373433
2.3527998924255	-7.9197928841602
2.3531000614166	-7.9560929358602
2.3533999919891	-7.9923155273417
2.3536999225616	-8.0284540690056
2.3540000915527	-8.0644929036509
2.3543000221252	-8.1004276148697
2.3545999526978	-8.1362476155931
2.3548998832703	-8.1719422975493
2.3552000522614	-8.2075033798865
2.3554999828339	-8.2429197880049
2.3557999134064	-8.2781808466842
2.3561000823975	-8.3132767268068
2.3564000129700	-8.3481975168215
2.3566999435425	-8.3829333227016
2.3570001125336	-8.4174692633468
2.3573000431061	-8.4517983521730
2.3575999736786	-8.4859085279467
2.3578999042511	-8.5197859762908
2.3582000732422	-8.5534220707113
2.3585000038147	-8.5868054150557
2.3587999343872	-8.6199220415357
2.3591001033783	-8.6527614476324
2.3594000339508	-8.6853105320529
2.3596999645233	-8.7175577296709
2.3599998950958	-8.7494910944488
2.3603000640869	-8.7810979977179
2.3605999946594	-8.8123666202851
2.3608999252319	-8.8432828208788
2.3612000942230	-8.8738355947512
2.3615000247955	-8.9040114793554
2.3617999553680	-8.9337975269840
2.3620998859406	-8.9631815764057
2.3624000549316	-8.9921503285509
2.3626999855042	-9.0206915200853
2.3629999160767	-9.0487920912284
2.3633000850677	-9.0764390356490
2.3636000156403	-9.1036199916505
2.3638999462128	-9.1303221382682
2.3642001152039	-9.1565312972084
2.3645000457764	-9.1822385902677
2.3647999763489	-9.2074267204502
2.3650999069214	-9.2320863344026
2.3654000759125	-9.2562042338432
2.3657000064850	-9.2797688630038
2.3659999370575	-9.3027668821636
2.3663001060486	-9.3251879685912
2.3666000366211	-9.3470181908808
2.3668999671936	-9.3682483144126
2.3671998977661	-9.3888656010453
2.3675000667572	-9.4088592808958
2.3677999973297	-9.4282195254905
2.3680999279022	-9.4469338535404
2.3684000968933	-9.4649929294593
2.3687000274658	-9.4823873199827
2.3689999580383	-9.4991053545561
2.3692998886108	-9.5151416408507
2.3696000576019	-9.5304822029025
2.3698999881744	-9.5451218404140
2.3701999187469	-9.5590503444485
2.3705000877380	-9.5722613521862
2.3708000183105	-9.5847463118986
2.3710999488831	-9.5964993190775
2.3714001178741	-9.6075119179197
2.3717000484467	-9.6177797101107
2.3719999790192	-9.6272954195363
2.3722999095917	-9.6360538060335
2.3726000785828	-9.6440514680686
2.3729000091553	-9.6512828428689
2.3731999397278	-9.6577452197654
2.3735001087189	-9.6634339055280
2.3738000392914	-9.6683459733858
2.3740999698639	-9.6724804710928
2.3743999004364	-9.6758340700986
2.3747000694275	-9.6784060799940
2.3750000000000	-9.6801967264244
2.3752999305725	-9.6812042716978
2.3756000995636	-9.6814292029048
2.3759000301361	-9.6808722703052
2.3761999607086	-9.6795361981446
2.3764998912811	-9.6774197662997
2.3768000602722	-9.6745284270196
2.3770999908447	-9.6708624721929
2.3773999214172	-9.6664266984128
2.3777000904083	-9.6612250915418
2.3780000209808	-9.6552605166684
2.3782999515533	-9.6485383967058
2.3785998821259	-9.6410640165259
2.3789000511169	-9.6328438990052
2.3791999816895	-9.6238831273297
2.3794999122620	-9.6141861205471
2.3798000812531	-9.6037626014959
2.3801000118256	-9.5926205303741
2.3803999423981	-9.5807668223641
2.3807001113892	-9.5682082121301
2.3810000419617	-9.5549541992130
2.3812999725342	-9.5410135170450
2.3815999031067	-9.5263959268198
2.3819000720978	-9.5111102084805
2.3822000026703	-9.4951657669309
2.3824999332428	-9.4785732761492
2.3828001022339	-9.4613434730060
2.3831000328064	-9.4434864495845
2.3833999633789	-9.4250116481980
2.3836998939514	-9.4059315671419
2.3840000629425	-9.3862579945515
2.3842999935150	-9.3660012826391
2.3845999240875	-9.3451737976304
2.3849000930786	-9.3237851820289
2.3852000236511	-9.3018489911706
2.3854999542236	-9.2793784310296
2.3857998847961	-9.2563825133649
2.3861000537872	-9.2328755410307
2.3863999843597	-9.2088686865570
2.3866999149323	-9.1843749056704
2.3870000839233	-9.1594058775362
2.3873000144958	-9.1339743009188
2.3875999450684	-9.1080923101814
2.3879001140594	-9.0817734519672
2.3882000446320	-9.0550280196535
2.3884999752045	-9.0278684808640
2.3887999057770	-9.0003095544353
2.3891000747681	-8.9723599341958
2.3894000053406	-8.9440354621897
2.3896999359131	-8.9153449618714
2.3900001049042	-8.8863032785296
2.3903000354767	-8.8569198947463
2.3905999660492	-8.8272078509543
2.3908998966217	-8.7971779366105
2.3912000656128	-8.7668431458155
2.3914999961853	-8.7362144352708
2.3917999267578	-8.7053026269543
2.3921000957489	-8.6741197594029
2.3924000263214	-8.6426756857384
2.3926999568939	-8.6109834905854
2.3929998874664	-8.5790521755989
2.3933000564575	-8.5468918056935
2.3935999870300	-8.5145142115410
2.3938999176025	-8.4819300886409
2.3942000865936	-8.4491475397934
2.3945000171661	-8.4161788687273
2.3947999477386	-8.3830332861976
2.3951001167297	-8.3497198766992
2.3954000473022	-8.3162463180648
